 China	Asia	30,074,380	[n 1]2022	27,312,548	[n 2]2021	23,009,780	[n 1]2020
 United States	Americas	25,035,164	2022	22,996,100	2021	19,846,720	2020
 European Union[n 3]	Europe	24,048,856	2022	21,648,464	2021	19,885,625	2019
 India	Asia	11,665,486	2022	10,218,573	2021	8,443,360	2020
 Japan	Asia	6,109,961	2022	5,396,819	2021	5,224,850	2019
 Germany	Europe	5,316,933	2022	4,815,479	2021	4,238,800	2020
 Russia	Europe	4,649,674	2022	4,785,445	2021	3,875,690	2020
 Indonesia	Asia	4,023,501	2022	3,566,265	2021	3,130,470	2020
 Brazil	Americas	3,782,763	2022	3,435,882	2021	2,989,430	2020
 United Kingdom	Europe	3,776,044	2022	3,344,468	2021	2,797,980	2020
 France	Europe	3,688,323	2022	3,424,152	2021	2,832,170	2020
 Turkey	Asia	3,320,994	2022	2,591,455	2021	2,393,960	2020
 Italy	Europe	3,022,162	2022	2,713,266	2021	2,322,140	2020
 Mexico	Americas	2,919,875	2022	2,609,993	2021	2,306,320	2020
 South Korea	Asia	2,765,834	2022	2,427,791	2021	2,187,800	2020
 Canada	Americas	2,240,390	2022	1,992,050	2021	1,742,790	2020
 Spain	Europe	2,215,992	2022	1,929,759	2021	1,714,860	2020
 Saudi Arabia	Asia	2,018,260	2022	1,751,178	2021	1,543,240	2020
 Egypt	Africa	1,661,955	2022	1,388,329	2021	1,223,040	2020
 Taiwan	Asia	1,621,702	2022	—	1,143,277	2019
 Australia	Oceania	1,615,286	2022	1,436,442	2021	1,250,900	2020
 Iran	Asia	1,599,249	2022	1,326,346	2020	1,044,310	2020
 Poland	Europe	1,599,020	2022	1,416,885	2021	1,223,460	2020
 Pakistan	Asia	1,512,476	2022	1,323,645	2021	1,021,130	2020
 Thailand	Asia	1,479,644	2022	1,343,720	2021	1,206,620	2020
 Bangladesh	Asia	1,345,646	2022	1,099,767	2021	793,490	2020
 Vietnam	Asia	1,299,690	2022	1,134,151	2021	798,210	2020
 Nigeria	Africa	1,275,297	2022	1,154,070	2021	1,013,530	2020
 Netherlands	Europe	1,226,656	2022	1,118,051	2021	945,480	2020
 Argentina	Americas	1,207,228	2022	1,082,341	2021	893,310	2020
 Philippines	Asia	1,154,875	2022	1,012,714	2021	871,560	2020
 Malaysia	Asia	1,096,507	2022	970,742	2021	855,600	2020
 Colombia	Americas	964,743	2022	866,076	2021	683,940	2020
 South Africa	Africa	949,846	2022	865,816	2021	680,040	2020
 United Arab Emirates	Asia	814,733	2022	660,343	2020	655,790	2019
 Switzerland	Europe	737,838	2022	672,544	2021	590,710	2020
 Romania	Europe	731,466	2022	676,944	2021	556,070	2020
 Belgium	Europe	723,090	2022	682,885	2021	557,110	2020
 Singapore	Asia	700,980	2022	635,267	2021	531,040	2020
 Sweden	Europe	684,458	2022	617,907	2021	524,750	2020
 Ireland	Europe	666,309	2022	535,284	2021	447,970	2020
 Algeria	Africa	600,668	2022	537,072	2021	468,400	2020
 Austria	Europe	599,470	2022	523,293	2021	463,120	2020
 Kazakhstan	Asia	596,666	2022	543,474	2021	475,180	2020
 Ukraine	Europe	588,448	[n 4]2021	588,384	[n 4]2021	516,680	[n 4]2020
 Chile	Americas	575,516	2022	559,158	2021	445,880	2020
 Iraq	Asia	524,210	2022	428,634	2021	372,270	2020
 Peru	Americas	521,841	2022	463,538	2021	371,290	2020
 Hong Kong	Asia	518,743	2022	489,061	2021	420,130	2020
 Czech Republic	Europe	514,732	2022	473,744	2021	409,970	2020
 Israel	Asia	496,841	2022	409,409	2021	353,390	2020
 Portugal	Europe	432,063	2022	369,627	2021	331,640	2020
 Norway	Europe	425,612	2022	428,346	2021	342,060	2020
 Denmark	Europe	411,039	2022	378,645	2021	326,200	2020
 Hungary	Europe	409,834	2022	356,863	2021	302,320	2020
 Greece	Europe	387,801	2022	333,749	2021	292,400	2020
 Morocco	Africa	359,671	2022	309,101	2021	259,420	[n 5]2020
 Ethiopia	Africa	347,847	2022	306,447	2021	264,050	2020
 Uzbekistan	Asia	334,318	2022	296,689	2021	239,420	2020
 Finland	Europe	324,829	2022	304,830	2021	261,390	2020
 Sri Lanka	Asia	318,690	2022	313,002	2021	274,800	2020
 Kenya	Africa	311,753	2022	276,221	2021	226,940	2020
 Qatar	Asia	303,596	2022	274,067	2021	245,660	2020
 New Zealand	Oceania	261,039	2022	237,789	2021	215,600	2020
